date,warehouse_id,sku_id,units_sold,revenue,order_id,client_id
2023-01-01,WH001,SKU001,25,650.00,ORD-20230101-001,CUST-001
2023-01-01,WH001,SKU002,18,468.00,ORD-20230101-002,CUST-002
2023-01-01,WH001,SKU003,32,832.00,ORD-20230101-003,CUST-003
2023-01-01,WH002,SKU001,22,572.00,ORD-20230101-004,CUST-004
2023-01-01,WH002,SKU002,15,390.00,ORD-20230101-005,CUST-005
2023-01-01,WH002,SKU003,28,728.00,ORD-20230101-006,CUST-006
2023-01-01,WH003,SKU001,19,494.00,ORD-20230101-007,CUST-007
2023-01-01,WH003,SKU002,21,546.00,ORD-20230101-008,CUST-008
2023-01-01,WH003,SKU003,35,910.00,ORD-20230101-009,CUST-009
2023-01-01,WH004,SKU001,24,624.00,ORD-20230101-010,CUST-010
2023-01-01,WH004,SKU002,17,442.00,ORD-20230101-011,CUST-011
2023-01-01,WH004,SKU003,30,780.00,ORD-20230101-012,CUST-012
2023-01-01,WH005,SKU001,20,520.00,ORD-20230101-013,CUST-013
2023-01-01,WH005,SKU002,16,416.00,ORD-20230101-014,CUST-014
2023-01-01,WH005,SKU003,26,676.00,ORD-20230101-015,CUST-015
2023-01-02,WH001,SKU001,28,728.00,ORD-20230102-001,CUST-016
2023-01-02,WH001,SKU002,20,520.00,ORD-20230102-002,CUST-017
2023-01-02,WH001,SKU003,35,910.00,ORD-20230102-003,CUST-018
2023-01-02,WH002,SKU001,25,650.00,ORD-20230102-004,CUST-019
2023-01-02,WH002,SKU002,18,468.00,ORD-20230102-005,CUST-020
2023-01-02,WH002,SKU003,32,832.00,ORD-20230102-006,CUST-021
2023-01-02,WH003,SKU001,22,572.00,ORD-20230102-007,CUST-022
2023-01-02,WH003,SKU002,19,494.00,ORD-20230102-008,CUST-023
2023-01-02,WH003,SKU003,38,988.00,ORD-20230102-009,CUST-024
2023-01-02,WH004,SKU001,26,676.00,ORD-20230102-010,CUST-025
2023-01-02,WH004,SKU002,21,546.00,ORD-20230102-011,CUST-026
2023-01-02,WH004,SKU003,33,858.00,ORD-20230102-012,CUST-027
2023-01-02,WH005,SKU001,23,598.00,ORD-20230102-013,CUST-028
2023-01-02,WH005,SKU002,17,442.00,ORD-20230102-014,CUST-029
2023-01-02,WH005,SKU003,29,754.00,ORD-20230102-015,CUST-030
2023-01-03,WH001,SKU001,30,780.00,ORD-20230103-001,CUST-031
2023-01-03,WH001,SKU002,22,572.00,ORD-20230103-002,CUST-032
2023-01-03,WH001,SKU003,38,988.00,ORD-20230103-003,CUST-033
2023-01-03,WH002,SKU001,27,702.00,ORD-20230103-004,CUST-034
2023-01-03,WH002,SKU002,20,520.00,ORD-20230103-005,CUST-035
2023-01-03,WH002,SKU003,35,910.00,ORD-20230103-006,CUST-036
2023-01-03,WH003,SKU001,24,624.00,ORD-20230103-007,CUST-037
2023-01-03,WH003,SKU002,21,546.00,ORD-20230103-008,CUST-038
2023-01-03,WH003,SKU003,40,1040.00,ORD-20230103-009,CUST-039
2023-01-03,WH004,SKU001,28,728.00,ORD-20230103-010,CUST-040
2023-01-03,WH004,SKU002,23,598.00,ORD-20230103-011,CUST-041
2023-01-03,WH004,SKU003,36,936.00,ORD-20230103-012,CUST-042
2023-01-03,WH005,SKU001,25,650.00,ORD-20230103-013,CUST-043
2023-01-03,WH005,SKU002,18,468.00,ORD-20230103-014,CUST-044
2023-01-03,WH005,SKU003,31,806.00,ORD-20230103-015,CUST-045
2023-01-04,WH001,SKU001,32,
