date,warehouse_id,sku_id,units_sold,revenue,order_id,client_id
2023-01-01,WH001,SKU001,25,650.00,ORD-20230101-001,CUST-001
2023-01-02,WH001,SKU001,45,1170.00,ORD-20230102-002,CUST-002
2023-01-03,WH001,SKU001,38,988.00,ORD-20230103-003,CUST-003
2023-01-04,WH001,SKU001,52,1352.00,ORD-20230104-004,CUST-004
2023-01-05,WH001,SKU001,41,1066.00,ORD-20230105-005,CUST-005
2023-01-06,WH001,SKU001,28,728.00,ORD-20230106-006,CUST-006
2023-01-07,WH001,SKU001,22,572.00,ORD-20230107-007,CUST-007
2023-01-08,WH001,SKU001,48,1248.00,ORD-20230108-008,CUST-008
2023-01-09,WH001,SKU001,55,1430.00,ORD-20230109-009,CUST-009
2023-01-10,WH001,SKU001,39,1014.00,ORD-20230110-010,CUST-010
2023-01-11,WH001,SKU001,47,1222.00,ORD-20230111-011,CUST-011
2023-01-12,WH001,SKU001,51,1326.00,ORD-20230112-012,CUST-012
2023-01-13,WH001,SKU001,33,858.00,ORD-20230113-013,CUST-013
2023-01-14,WH001,SKU001,26,676.00,ORD-20230114-014,CUST-014
2023-01-15,WH001,SKU001,44,1144.00,ORD-20230115-015,CUST-015
2023-01-16,WH001,SKU001,58,1508.00,ORD-20230116-016,CUST-016
2023-01-17,WH001,SKU001,42,1092.00,ORD-20230117-017,CUST-017
2023-01-18,WH001,SKU001,49,1274.00,ORD-20230118-018,CUST-018
2023-01-19,WH001,SKU001,36,936.00,ORD-20230119-019,CUST-019
2023-01-20,WH001,SKU001,31,806.00,ORD-20230120-020,CUST-020
2023-01-21,WH001,SKU001,24,624.00,ORD-20230121-021,CUST-021
2023-01-22,WH001,SKU001,43,1118.00,ORD-20230122-022,CUST-022
2023-01-23,WH001,SKU001,56,1456.00,ORD-20230123-023,CUST-023
2023-01-24,WH001,SKU001,40,1040.00,ORD-20230124-024,CUST-024
2023-01-25,WH001,SKU001,53,1378.00,ORD-20230125-025,CUST-025
2023-01-26,WH001,SKU001,37,962.00,ORD-20230126-026,CUST-026
2023-01-27,WH001,SKU001,29,754.00,ORD-20230127-027,CUST-027
2023-01-28,WH001,SKU001,25,650.00,ORD-20230128-028,CUST-028
2023-01-29,WH001,SKU001,46,1196.00,ORD-20230129-029,CUST-029
2023-01-30,WH001,SKU001,54,1404.00,ORD-20230130-030,CUST-030
2023-01-31,WH001,SKU001,41,1066.00,ORD-20230131-031,CUST-031
2023-02-01,WH001,SKU001,48,1248.00,ORD-20230201-032,CUST-032
2023-02-02,WH001,SKU001,35,910.00,ORD-20230202-033,CUST-033
2023-02-03,WH001,SKU001,27,702.00,ORD-20230203-034,CUST-034
2023-02-04,WH001,SKU001,23,598.00,ORD-20230204-035,CUST-035
2023-02-05,WH001,SKU001,42,1092.00,ORD-20230205-036,CUST-036
2023-02-06,WH001,SKU001,57,1482.00,ORD-20230206-037,CUST-037
2023-02-07,WH001,SKU001,44,1144.00,ORD-20230207-038,CUST-038
